# BEAST v1.7.4, r5154
# Generated Fri Sep 25 21:47:24 BST 2015 [seed=1443214044375]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CentralPacificIslands)	tmrca(MainHawaiian)	tmrca(NorthWesternHawaiian)	tmrca(Hawaii)	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-6985.770330664761	-21.863010485223146	-6963.907320179538	0.7853490756780206	0.4084143233845864	0.38474514029830803	0.30733581858542247	0.11551233924015028	0.2	1.0	-6963.907320179538	-21.60708836368296
1000	-5332.646487916728	2.461430259195213	-5335.107918175923	0.15722858057114664	0.09529170523315234	0.05347866924654799	0.09529170523315234	0.01614103432745859	0.183178951383752	1.0	-5335.107918175923	2.8589658863792105
2000	-5287.312944619411	2.5649473612148785	-5289.8778919806255	0.16834801531535	0.0924745569540523	0.059597147800875244	0.0924745569540523	0.013398890391138838	0.22575091672553527	1.0	-5289.8778919806255	3.381325697538246
3000	-5275.819325792256	2.2554777614926746	-5278.074803553748	0.1659410166430763	0.09446402843090676	0.0573140171993619	0.09446402843090676	0.013571508575019858	0.18809560500611633	1.0	-5278.074803553748	2.88937421556275
4000	-5258.61405590969	2.0722235074714748	-5260.686279417162	0.18364712442793973	0.08774420114614696	0.05391986210113322	0.08774420114614696	0.019441241744123008	0.2574031109838295	1.0	-5260.686279417162	3.2038380214262885
5000	-5252.219496902879	1.4655207899987648	-5253.685017692877	0.1647091337234742	0.09595080984582212	0.0664897436446383	0.09595080984582212	0.013353186275930847	0.3352894318500607	1.0	-5253.685017692877	2.861486057165068
6000	-5253.747673079536	-1.2723798540393783	-5252.475293225497	0.17692248406821054	0.09109893463183717	0.06395881827126151	0.09109893463183717	0.013024201824965307	0.5976209061172003	1.0	-5252.475293225497	0.7015478953114005
7000	-5246.687601642099	-1.544095918506792	-5245.143505723592	0.17563341682135952	0.0963515765165076	0.06281541862982114	0.0963515765165076	0.015261245720757297	0.6022751602222715	1.0	-5245.143505723592	0.4375896318369996
8000	-5236.502179866145	2.122700372798829	-5238.624880238944	0.17606028732459636	0.0981043608365207	0.05697534066756656	0.0981043608365207	0.015787071647949284	0.27521719265578154	1.0	-5238.624880238944	3.41161344355859
9000	-5214.662240195323	1.6563090602354449	-5216.3185492555585	0.1767446439708895	0.10181851556064062	0.05761853672227944	0.10181851556064062	0.014763560748260546	0.22356449984213864	1.0	-5216.3185492555585	2.9474484716930536
10000	-5191.757431583313	0.08415275506018327	-5191.841584338373	0.17627145353410248	0.0999091141493508	0.0683548984364756	0.0999091141493508	0.01538024670368426	0.38794651225179416	1.0	-5191.841584338373	2.249071788021999
11000	-5189.234361965007	1.1144116412134681	-5190.348773606221	0.16413090713543788	0.09378904234772824	0.05586374791437808	0.09378904234772824	0.015779386914047587	0.3445508670008265	1.0	-5190.348773606221	3.160704933204128
12000	-5161.727784896496	0.5548002201491209	-5162.282585116645	0.17833098317858126	0.09897175788171837	0.06042771361782945	0.09897175788171837	0.01200181226923154	0.33468824035562145	1.0	-5162.282585116645	3.0493887400566373
13000	-5162.760021934222	0.4474636001145784	-5163.207485534336	0.16327339187632453	0.08972553076525516	0.05500821907078429	0.08972553076525516	0.014410857647118752	0.34075838891438054	1.0	-5163.207485534336	3.211588482155456
14000	-5159.437946600618	0.3986352478378419	-5159.836581848455	0.1764160235701128	0.09459331937938391	0.06140501710112936	0.09459331937938391	0.014945531249063154	0.23142072622310134	1.0	-5159.836581848455	2.775823820194632
15000	-5155.987862091002	0.371003074123593	-5156.358865165126	0.1626431613615043	0.09754065315024056	0.05433597263518007	0.09754065315024056	0.01571185745010226	0.2859220556080024	1.0	-5156.358865165126	3.1019607197536625
16000	-5155.5160988765865	0.6065805363817782	-5156.122679412968	0.16587232055311138	0.1037490292147564	0.054679855461859515	0.1037490292147564	0.014483273541259237	0.2589873254636077	1.0	-5156.122679412968	3.238598065243135
17000	-5156.446146904468	-0.6099960585810509	-5155.8361508458875	0.1728346043920644	0.09274127225222434	0.05674711620615489	0.09274127225222434	0.014241586085716818	0.4154556313331691	1.0	-5155.8361508458875	2.494618171010829
